key area lefttop (15,60)
key area right_bottom (15+752,60+230)
Current key number 26
all keys are square and size is 40 pixel units
key index      key letter     key_top_x     key_top_y
0     a     35     80     
1     b     85     80     
2     c     135     80     
3     d     185     80     
4     e     235     80     
5     f     285     80     
6     g     335     80     
7     h     385     80     
8     i     435     80     
9     j     485     80     
10     k     35     130     
11     l     85     130     
12     m     135     130     
13     n     185     130     
14     o     235     130     
15     p     285     130     
16     q     335     130     
17     r     385     130     
18     s     435     130     
19     t     485     130     
20     u     135     180     
21     v     185     180     
22     w     235     180     
23     x     285     180     
24     y     335     180     
25     z     385     180     
