letter is:abcdpqrst
x pos      y pos     time     
20     82     1     
27     82     2     
33     82     3     
40     82     4     
46     83     5     
52     84     6     
59     85     7     
67     86     8     
78     87     9     
89     88     10     
103     92     11     
116     95     12     
131     99     13     
145     102     14     
156     106     15     
166     108     16     
175     111     17     
182     114     18     
188     117     19     
194     118     20     
197     119     21     
200     121     22     
205     121     23     
209     122     24     
214     123     25     
220     124     26     
228     125     27     
236     126     28     
246     127     29     
257     128     30     
268     128     31     
279     128     32     
288     130     33     
299     131     34     
312     133     35     
323     134     36     
331     137     37     
340     140     38     
349     144     39     
356     147     40     
363     150     41     
369     152     42     
374     153     43     
378     155     44     
384     156     45     
390     158     46     
397     159     47     
403     160     48     
408     161     49     
411     161     50     
416     161     51     
419     160     52     
426     158     53     
433     157     54     
441     155     55     
450     153     56     
460     151     57     
471     150     58     
480     149     59     
490     149     60     
500     148     61     
508     147     62     
515     147     63     
523     147     64     
531     146     65     
540     145     66     
548     144     67     
556     143     68     
563     143     69     
569     142     70     
576     141     71     
582     141     72     
586     141     73     
588     141     74     
589     141     75     
590     141     76     
591     141     77     
592     142     78     
593     142     79     
594     143     80     
594     144     81     
595     144     82     
